,,"TO",,,,,,,,,,,,,,
,,"WUH","CHINA","AS w/w CHINA","EU","AS","NA","AF","SA","OC",,,"Sources",,"imundi","arrivals, departures, travel connection simulated"
"FROM","WUH",,13056,5930,563,18986,355,18,6,44,,,,,"travelchinaguide (Rebecca)",
,"CHINA",6849,,," 197,190 "," 106,489 "," 49,887 "," 19,046 "," 10,757 "," 3,959 ",,,,"Calc","calculated",
,"AS w/w CHINA",20," 29,300 ",," 261,774 "," 141,366 "," 66,226 "," 25,284 "," 14,280 "," 5,255 ",,,,,"FLIRT model and WUHAN total (2016) passengers",
,"EU",214," 86,535 "," 419,844 "," 937,684 "," 506,379 "," 237,225 "," 90,568 "," 51,152 "," 18,824 ",,,,,,
,"AS",6869," 42,356 "," 205,499 "," 458,964 "," 247,855 "," 116,114 "," 44,330 "," 25,037 "," 9,214 ",,,,,,
,"NA",153," 21,950 "," 106,494 "," 237,846 "," 128,444 "," 60,173 "," 22,973 "," 12,975 "," 4,775 ",,,,,,
,"AF",554," 4,476 "," 21,719 "," 48,507 "," 26,195 "," 12,272 "," 4,685 "," 2,646 "," 974 ",,,,,,
,"SA",186," 2,747 "," 13,326 "," 29,763 "," 16,073 "," 7,530 "," 2,875 "," 1,624 "," 598 ",,,,,,
,"OC",18," 1,196 "," 5,802 "," 12,958 "," 6,998 "," 3,278 "," 1,252 "," 707 "," 260 ",,,,,,
